url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/1nNMBeTNkToeeuUaRFmNeA,peter parker’s ipod,"18,994 saves",derek_mtz,https://open.spotify.com/user/derek_mtz
https://open.spotify.com/playlist/37i9dQZF1DWV5vqkTng2MA,the new retro,"407,509 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7hitFeOemCaERBEDFMwUH2,Fourth wing; a reading playlist 🐉⚔️🏔️,"9,112 saves",Jamila,https://open.spotify.com/user/68sz80phmbncfpg7502k2c3xj
https://open.spotify.com/playlist/37i9dQZF1DX9crXQ0wuuXE,Roots Revival,"618,643 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXajkNVL0LazE,00s Indie Folk,"101,471 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1NxNXmyvYCT71OYLobE4xI,FOURTH WING / IRON FLAME- reading playlist🔥,"27,264 saves",Urte⚡️,https://open.spotify.com/user/31pdpkbfd4of2w4twojw6mzbz3fm
https://open.spotify.com/playlist/6MQovlqpNdTQssuG5txKJA,EOTR 2024,"9,205 saves",End Of The Road Festival,https://open.spotify.com/user/end-of-the-road-festival
https://open.spotify.com/playlist/37i9dQZF1DXb67OkZ6150Z,Indie Covers,"294,262 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWYJeWl6ior4d,Indie Klassiker,"328,298 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/160nFABJxMlKYWaUlUwKPA,Phosphorescent - Revelator,"2,917 saves",Phosphorescent Music,https://open.spotify.com/user/31ex7xbyq56prehh7bsluqdpqvai
https://open.spotify.com/playlist/5vEr8prG4Q5IaRRe9uAQWx,Es confuso ¿Verdad?,"74,155 saves",Soñador,https://open.spotify.com/user/22nyusbghyrrqmcmhrngselkq
https://open.spotify.com/playlist/37i9dQZF1DXaLaoaQqrfyO,Indie Pop 2010s,"349,520 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX873GaRGUmPl,Alternative 10s,"903,709 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX9pryhDLql25,Farmers Market,"234,926 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWWHfKx5oHlSX,Electric Lady Studios,"114,945 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX0x36cwEyOTG,Peaceful Ambient Indie,"425,287 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWW2mn5wEfG6q,Best of Indie 2013,"81,195 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1C3rLT7O5hVDFtFmhAgFDI,MARVEL SONGS.,"54,867 saves",fxrnandx_,https://open.spotify.com/user/fxrnandx_
https://open.spotify.com/playlist/37i9dQZF1DX33sAKOXmmb7,10s Indie Folk,"72,117 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6mR7jdOqr09lRnGTGTWwy4,Músicas Românticas de filmes! Só as melhores!,"2,109 saves",Juliano Vasconcellos,https://open.spotify.com/user/djjuliano
https://open.spotify.com/playlist/37i9dQZF1DZ06evO33Kl5n,This Is Jenny Lewis,"3,444 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3zPqVRULjwmaIyc93p2nLx,Sounds like Folklore,"9,195 saves",Fuegostine,https://open.spotify.com/user/fuegostine
https://open.spotify.com/playlist/7sji9Bkx5dYZb1YFobMlOK,The Amazing Spider-Man 1 & 2,"5,484 saves",Revan_Zz,https://open.spotify.com/user/theleaderkyloren
https://open.spotify.com/playlist/5C4000JaC0AfF0Njyy10th,Time Moves Slow,"3,882 saves",Deanjraines,https://open.spotify.com/user/mkqumexra8v7nho5trtuy9ogx
https://open.spotify.com/playlist/5tOffZXVBFTMS7mkKQ3tpX,Indie Folk Chill,"95,440 saves""url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2CDVdg,This Is MJ Lenderman,""1,135 saves",CaffeinatedFox,https://open.spotify.com/user/rj9wvs6jynpiwpzb5s99rwu6f
https://open.spotify.com/playlist/1EkUw68oTJGlDOicmWHBfV,The Amplifier: 5 of My Most Anticipated Albums of the Fall,"77,760 saves",nytimes,https://open.spotify.com/user/nytimes
https://open.spotify.com/playlist/37i9dQZF1DWZ1RmpoqILAO,Indie Twang,"61,938 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX30HHrCAl4ZG,Today's Indie Rock,"833,850 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWUgBy0IJPlHq,Indigo,"527,201 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWZryfp6NSvtz,All New Rock,"897,583 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7o3ffUs2KqI1BaMuvq1Mmc,Modern Rock Vibes,"31,604 saves",Virtue Playlists,https://open.spotify.com/user/3177hmrdfae4aozkha7p3quyyh34
https://open.spotify.com/playlist/7sSu6qwisYdKEyXWQ1YQ24,Indie,"33,790 saves",Virtue Playlists,https://open.spotify.com/user/3177hmrdfae4aozkha7p3quyyh34
