url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/131wVohjHrpv3U321ZzFzD,Playlist Bonne humeur 🌞 | Hits feel good,"33,552 saves",Digster France,https://open.spotify.com/user/digster.fr
https://open.spotify.com/playlist/4SWt6k4KUSNzmgRtCTzOKM,TIK TOK 2024 ⚡⚡ SEPTEMBER 2024,"307,952 saves",partyfiesta!,https://open.spotify.com/user/partyfiesta%21
https://open.spotify.com/playlist/37i9dQZF1DX4W3aJJYCDfV,New Music Friday UK,"860,639 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX5WTH49Vcnqp,Front Left,"566,876 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXbO6rt3GhXDY,Indie Pop Hits,"149,229 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX8DAKoukubXJ,Letní chill,"66,371 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2LGmNuz7V96ah9hSNzlu1i,RUNNER GIRL JAMS👟🏃‍♀️🎧🔥,"15,033 saves",MAGGIE O,https://open.spotify.com/user/moferrall628
https://open.spotify.com/playlist/37i9dQZF1DXcecv7ESbOPu,New Music Friday Sweden,"215,451 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWWAv76uXmtxB,romanticizing life,"16,045 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5wY6zoFktPSgcikEnXIfJW,Whisky Neat🥃,"5,817 saves",Live laugh love,https://open.spotify.com/user/fehtdyjgy92mbu2bbxn1hffxy
https://open.spotify.com/playlist/37i9dQZF1DX742okrrpwah,New Music Friday France,"351,635 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/6TvutItQch5ry84ppTRPWN,Matin motivé ! ☀️☀️ Réveil de bonne humeur,"22,901 saves",Digster France,https://open.spotify.com/user/digster.fr
https://open.spotify.com/playlist/37i9dQZF1DWV3RrjH1jDkx,New Music Friday Norway,"188,483 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSwyaV6GLT48,summer songs,"104,816 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX7FV7CCq9byu,Ny Pop,"173,302 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX2DKrE9X6Abv,end credits,"758,284 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWWGzo2lhvYlP,Homework motivation,"548,600 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX8hcTuUCeYxa,Indie Brandneu,"169,164 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0VTTnJgEPcBYWKddDZ7iwo,pampaantok kapag matutulog nako,""39,417 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2JtMCwq7aSoxf4EACEqZL9,LAGU INGGRIS SAD VIBES🤍✨,"76,031 saves",Playlst Recordings,https://open.spotify.com/user/31ytfhkn5yyfcm2n7ashbzapfh64
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2Nmhna,This Is Seafret,"37,293 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4AO6oKCkkkC5SXZoak13S5,sad galau brutal 😢,"26,550 saves",Calm Radio,https://open.spotify.com/user/p8i783maagp01g0lca7jqk8wo
https://open.spotify.com/playlist/3yu993u6IZwuE2kUphZoZt,para dormir más agusto que un marihuano y soñar bonito,"33,080 saves",Degollamee,https://open.spotify.com/user/12136712682
https://open.spotify.com/playlist/2ZnAWYy4AOs8tpRUCGF6Py,Sad playlist to cry to at 3am 🌃,"28,209 saves",RP,https://open.spotify.com/user/3xin07wp5zh4ip27t2qjqe1uq
https://open.spotify.com/playlist/1zunq9gfybWXOU4Eqg5jiP,comfort songs to sleep,"19,215 saves",gigi🪐,https://open.spotify.com/user/w3845966arb20vuncayfwapeg
https://open.spotify.com/playlist/37i9dQZF1DX2ogDiL6nZJr,Van Life,"801,614 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5j6xtxrcaZ1NjObCHjvBCf,Songs That Can Make You Cry And Fall Asleep,"52,913 saves",🇵🇭,https://open.spotify.com/user/31fvx5twyl2m2k22ytctspizdng4
https://open.spotify.com/playlist/37i9dQZF1DWUCQ155jGb0U,Rock Me,"512,708 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2nzVCXza1cHdl0jk7vmdNQ,tiktok music - tiktok hits 2024,"107,592 saves",silva,https://open.spotify.com/user/62wzf85cq4gbj86et0m44dn0l
https://open.spotify.com/playlist/5hOH3HcnQon0lWreL9Tfwx,NANGIS AMPE MATA BENGKAK 😭,"225,629 saves",@radionangis,https://open.spotify.com/user/31vitks5btv53w6tfu23bocixkm4
https://open.spotify.com/playlist/7stJJVvNTQ7o9fZOoqKW24,Sad vibes tiktok 2024 🎵,"114,401 saves",kat ♡,https://open.spotify.com/user/katrinasynchro
https://open.spotify.com/playlist/5UzZuu84hjwAQEyaGKBYUF,,"39,801 saves",undefined,
https://open.spotify.com/playlist/0TjkxPjvv2jAlHgy4kHfWq,VIBES 2019 - 2021 COVID-19 💔,"51,704 saves",𝐕𝐮𝐫𝐬𝐡.,https://open.spotify.com/user/gkb2jxnehn17nm9jxm2i65ihm
https://open.spotify.com/playlist/7CSZCwHqN9tJTZYq2hLxvV,Sunday Vibes Weekend Chill 2024,"20,564 saves",Tidemusic,https://open.spotify.com/user/ulp83n0q7c84pyc2x865ksn86
https://open.spotify.com/playlist/4E8brtWjOunlvfx9eMv1i5,Musica relajante❤️‍🩹,"35,415 saves",Gumo,https://open.spotify.com/user/31lbh6gvti3w5jyvygldhxudjhza
https://open.spotify.com/playlist/3zW7O3cZsPzDt9ts0c71FD,Pang broken na playlist kahit hindi broken.,"62,560 saves",rei,https://open.spotify.com/user/317flyqyzxb35bwlvlopx4kchdgu
