url,playlistName,saves,playlistOwnerProfile,playlistOwner
https://open.spotify.com/playlist/4h9dvquufDVDyGuYRHeu73,2000 R&B Hits - Top R&B 2000s Songs (R&B 00s Popular Songs),"226,146 saves",https://open.spotify.com/user/31kooaty35jze4hdihc64m32j6b4,Redlist - Top Tracks
https://open.spotify.com/playlist/3H00iqmq81Q1GOQijNTFMs,Alicia Keys Greatest Hits,"21,588 saves",https://open.spotify.com/user/will-tse,OfficialWill
https://open.spotify.com/playlist/0ACZwfaiha6TKZ7PCAYTYJ,BEST OF : Alicia Keys,"2,719 saves",https://open.spotify.com/user/212m5bhrzmvm36nulrhhdxq5i,DailyBangerMusic
https://open.spotify.com/playlist/6VBzEcEIOHZeliro87rJjX,All Bridgerton Covers,"39,010 saves",https://open.spotify.com/user/31jzjwvh55rq4mi6lit25fadleqa,Phebs
https://open.spotify.com/playlist/43dbio5objvJqwHxGCjBZI,Violin Covers of Popular Songs,"89,673 saves",https://open.spotify.com/user/2apxpnfv7299tnutgbn50z3qm,Impakt Records
https://open.spotify.com/playlist/37i9dQZF1DXd9zR7tdziuQ,,"934,988 saves",,undefined
https://open.spotify.com/playlist/6kthdfbq97PF7JpANEZgrM,HIP HOP DAS ANTIGAS // AS MAIS ESCUTADAS DOS ANOS 2000 🔥🎼,"65,122 saves",https://open.spotify.com/user/31p3f5eizbzbonjak76phkoaxieq,Erick musico
https://open.spotify.com/playlist/37i9dQZF1DXd0DyosUBZQ7,00s Love Songs,"618,812 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DXdGHPXiRsW3u,Soft 00s,"818,856 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DWYiatDTQvsFP,mid:nite storm,"576,702 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DXacPj7eARo6k,Années 2000,"590,000 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/7kPPwcLvMqJT9iaVG8z2bv,2000s R&B & Hip-Hop Playlist,"285,163 saves",https://open.spotify.com/user/ricoo97,Miranda Sullivan
https://open.spotify.com/playlist/3KIlpqDlbWBl7Q0eNykyqh,Alícia keys as melhores,"8,187 saves",https://open.spotify.com/user/zg5fpyw4jchxv4f1ub25g2m0d,Kelly.mohamed.silva
https://open.spotify.com/playlist/7oKfi7K8WUOetawBJGuUNV,Clean Work Playlist (90s-2023) original 😎,"23,507 saves",https://open.spotify.com/user/benny27zhang,Benny
https://open.spotify.com/playlist/1Ovmq0mAjbzAtfN0EFf249,"Neyo, Usher, Chris Brown, Sisqo, Craig David, Mario, Nelly, Akon PL","96,878 saves",https://open.spotify.com/user/1110350782,💅🏿 MoNique 💅🏿
https://open.spotify.com/playlist/7p49JRwYq6YBMZFKxnu0Ki,Alicia Keys - All Songs,"3,981 saves",https://open.spotify.com/user/1145499210,🇬🇧 Stewart Harding 🎤🎸✌🏻
https://open.spotify.com/playlist/37i9dQZF1DX0dzzKV3SZR0,Boo Thang <3,"306,570 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DWUW2bvSkjcJ6,New Music Friday Deutschland,"818,676 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"302,070 saves",https://open.spotify.com/user/312avoycbyo353bvbqm2mpdnghjy,Unplugged
https://open.spotify.com/playlist/2bURuPW4aE7OjrS3ih9w8x,R&B Clean - Safe for Work,"5,419 saves",https://open.spotify.com/user/fl6foifgjgszu1glioo0jsp9o,Team
https://open.spotify.com/playlist/37i9dQZF1DWV1PBrIG2weG,Chill 2024,"828,293 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DXaPeYMCDRQeg,Love Language,"330,603 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/4lPRuMr4rYgT1Efo5JxWEE,As 100 Melhores Românticas Internacionais,"167,695 saves",https://open.spotify.com/user/lrg_ric,Luiz Ricardo
