

https://open.spotify.com/playlist/37i9dQZF1DWV1bxlagjEmb,Sad Folk,"99,715 saves"
https://open.spotify.com/playlist/37i9dQZF1DWWbVYL1LBbVy,10 Years of Heartache,"808,430 saves"
https://open.spotify.com/playlist/37i9dQZF1DWVK6HkN7OS7c,"Mixtape #8 Paul Mescal ""Songs to make you feel something""","17,257 saves"
https://open.spotify.com/playlist/37i9dQZF1DX7XF2hFaHoss,Women of Acoustic,"152,482 saves"url,playlistName,saves
https://open.spotify.com/playlist/0ruh3Ry3vc78QrQwMl07XN,them really sad phoebe bridgers songs,"38,227 saves"
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"303,086 saves"
https://open.spotify.com/playlist/4Eaqv2ZjzoQmG0myohWtYi,songs that feel like fall 🍂,"20,453 saves"
https://open.spotify.com/playlist/53yMQt8cRfObvZeAdjmT90,thought daughter,"48,512 saves"
https://open.spotify.com/playlist/1zunq9gfybWXOU4Eqg5jiP,comfort songs to sleep,"19,180 saves"
https://open.spotify.com/playlist/5Fb4tPy3wpQqNSnvEUPNFP,thought daughter car ride,"19,967 saves"
https://open.spotify.com/playlist/004dqYVVhtQE3YcHUAH2DS,*ೃ༄ autumn🍂☕️🕯️,"71,628 saves"
https://open.spotify.com/playlist/37i9dQZF1DXb9izPIc0SCS,Indie Rock Hits,"694,307 saves"
https://open.spotify.com/playlist/78lw1fbjkHGukSGYUbBZ7u,Thought daughter 📝,"19,976 saves"
https://open.spotify.com/playlist/0l4pQyHBQbkW2alIE7iUgp,gilmore girls fall🍂🍁,"53,321 saves"
https://open.spotify.com/playlist/5hOH3HcnQon0lWreL9Tfwx,NANGIS AMPE MATA BENGKAK 😭,"225,546 saves"
https://open.spotify.com/playlist/2GgTpiqee3MDjy2h4nTkWb,all phoebe bridgers songs,"7,682 saves"
https://open.spotify.com/playlist/1XE7rQIGl1NFtWEAfwn4b9,Calm songs but sad but comforting 🎀,"96,628 saves"
https://open.spotify.com/playlist/09PWdnEeaF4shW7m6mi8D0,Who is Phoebe Fucking Bridgers?,"87,313 saves"
https://open.spotify.com/playlist/37i9dQZF1DXahsxs9xh0fn,fall feels,"97,252 saves"
https://open.spotify.com/playlist/37i9dQZF1DXcgZcN2HVMoe,Morning Coffee,"341,229 saves"
